,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-10.568909040315692,0.00824498180540113,5308.516774491757
1,500,0.24347611848478054,0.02576669414134753,0.002589650198627226,0.7778528096582743,0.0008755683311913223,4760.345612605443
2,1000,0.24347611848478054,0.02576669414134753,0.002589650198627226,0.7778528096582743,0.0008755683311913223,4760.345612605443
3,1500,0.24983840112179626,0.0016078885366324876,0.0001615988782037447,0.7801101243200068,0.0008749654116611653,5285.252016254011
4,2000,0.25,0.0,0.0,0.7825945802341973,0.0007976289835078402,4121.374598747517
5,2500,0.25,0.0,0.0,0.7827543032942593,0.0007806355079626127,3980.4806551504043
6,3000,0.25,0.0,0.0,0.7829890059668665,0.0007790803329651359,4120.152381816516
7,3500,0.25,0.0,0.0,0.7829890059668665,0.0007790803329651359,4120.152381816516
8,4000,0.25,0.0,0.0,0.7829890059668665,0.0007790803329651359,4120.152381816516
9,4500,0.25,0.0,0.0,0.7829890059668665,0.0007790803329651359,4120.152381816516
10,5000,0.25,0.0,0.0,0.7829890059668665,0.0007790803329651359,4120.152381816516
