,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,0.2920748245805508,0.002436531202909711,7214.280375707599
1,500,0.24945127656934638,0.0054597291994638265,0.0005487234306536051,0.7981127698536629,0.001029422533722089,3944.998454554076
2,1000,0.25,0.0,0.0,0.7983008850735093,0.0010645908314053094,4502.1322570242255
3,1500,0.25,0.0,0.0,0.7983008850735093,0.0010645908314053094,4502.1322570242255
4,2000,0.25,0.0,0.0,0.7983008850735093,0.0010645908314053094,4502.1322570242255
5,2500,0.25,0.0,0.0,0.7986251622279937,0.0010350514670642093,4302.512595564592
6,3000,0.25,0.0,0.0,0.798779479857689,0.0010428309318976836,4493.848073416327
7,3500,0.25,0.0,0.0,0.798779479857689,0.0010428309318976836,4493.848073416327
8,4000,0.25,0.0,0.0,0.798779479857689,0.0010428309318976836,4493.848073416327
9,4500,0.25,0.0,0.0,0.798779479857689,0.0010428309318976836,4493.848073416327
10,5000,0.25,0.0,0.0,0.798779479857689,0.0010428309318976836,4493.848073416327
