,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-6.378544104887067,0.00966515700186501,4029.211850590688
1,500,0.14040127828992802,0.06745429541995905,0.006779411769872512,0.7527622941301609,0.0009915006625659984,1211.4552507555943
2,1000,0.14040127828992802,0.06745429541995905,0.006779411769872512,0.7527622941301609,0.0009915006625659984,1211.4552507555943
3,1500,0.2305467762464691,0.039230682060688644,0.0039428318989403275,0.7547485182822422,0.0010890061863429712,1763.477750880843
4,2000,0.2305467762464691,0.039230682060688644,0.0039428318989403275,0.7547485182822422,0.0010890061863429712,1763.477750880843
5,2500,0.2305467762464691,0.039230682060688644,0.0039428318989403275,0.7547485182822422,0.0010890061863429712,1763.477750880843
6,3000,0.24945125536984228,0.005047115138253895,0.000507254157191239,0.755908597796106,0.0010579825916931752,1778.0090689399203
7,3500,0.24945125536984228,0.005047115138253895,0.000507254157191239,0.755908597796106,0.0010579825916931752,1778.0090689399203
8,4000,0.24945125536984228,0.005047115138253895,0.000507254157191239,0.755908597796106,0.0010579825916931752,1778.0090689399203
9,4500,0.24945125536984228,0.005047115138253895,0.000507254157191239,0.755908597796106,0.0010579825916931752,1778.0090689399203
10,5000,0.24945125536984228,0.005047115138253895,0.000507254157191239,0.755908597796106,0.0010579825916931752,1778.0090689399203
