,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-1.7439020748996894,0.0030250876127619146,2321.8873417390096
1,500,0.25,0.0,0.0,0.696550506961597,0.0008478549468867645,2950.3614497789154
2,1000,0.25,0.0,0.0,0.696550506961597,0.0008478549468867645,2950.3614497789154
3,1500,0.25,0.0,0.0,0.696550506961597,0.0008478549468867645,2950.3614497789154
4,2000,0.25,0.0,0.0,0.696550506961597,0.0008478549468867645,2950.3614497789154
5,2500,0.25,0.0,0.0,0.696550506961597,0.0008478549468867645,2950.3614497789154
6,3000,0.25,0.0,0.0,0.696550506961597,0.0008478549468867645,2950.3614497789154
7,3500,0.25,0.0,0.0,0.6966870721231724,0.0008472124654909894,2955.0650554576023
8,4000,0.25,0.0,0.0,0.6974689907471829,0.0008401001502664744,2934.766511620009
9,4500,0.25,0.0,0.0,0.6974689907471829,0.0008401001502664744,2934.766511620009
10,5000,0.25,0.0,0.0,0.6974689907471829,0.0008401001502664744,2934.766511620009
