,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-0.07848417472354119,0.00015498216740091172,3666.7710518169283
1,500,0.23549547155954179,0.0422078819365253,0.004242051744820416,0.7337932034789139,0.0011950924553174491,2699.750667701291
2,1000,0.23549547155954179,0.0422078819365253,0.004242051744820416,0.7337932034789139,0.0011950924553174491,2699.750667701291
3,1500,0.23549547155954179,0.0422078819365253,0.004242051744820416,0.7337932034789139,0.0011950924553174491,2699.750667701291
4,2000,0.23549547155954179,0.0422078819365253,0.004242051744820416,0.7337932034789139,0.0011950924553174491,2699.750667701291
5,2500,0.24447116521107376,0.020726846402849716,0.0020831264425933338,0.7397915112448735,0.0009740941071496366,1396.2900792560408
6,3000,0.248817142040764,0.006901188596801897,0.0006935955510021565,0.7398315346471449,0.0009666531157090012,1396.0816753211616
7,3500,0.248817142040764,0.006901188596801897,0.0006935955510021565,0.7398315346471449,0.0009666531157090012,1396.0816753211616
8,4000,0.248817142040764,0.006901188596801897,0.0006935955510021565,0.7398315346471449,0.0009666531157090012,1396.0816753211616
9,4500,0.24969546935760678,0.0019223002930115354,0.00019319844867604567,0.7398301116764581,0.0009725092030482274,1400.616208896269
10,5000,0.24969546935760678,0.0019223002930115354,0.00019319844867604567,0.7398301116764581,0.0009725092030482274,1400.616208896269
