,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-1.2842101304747269,0.005533253688880516,7152.178474357823
1,500,0.0885004560816686,0.06900132490722034,0.006934894083474379,0.7277648706464974,0.0013312098159809391,2893.361729418898
2,1000,0.16384845250339833,0.07261840571026892,0.007298424382265576,0.7298733114362381,0.001287599305245539,2539.9239219687033
3,1500,0.16384845250339833,0.07261840571026892,0.007298424382265576,0.7298733114362381,0.001287599305245539,2539.9239219687033
4,2000,0.21963719395327036,0.04408665879922591,0.004430875924165232,0.7316940912540717,0.0012119632096117688,1854.1660844757396
5,2500,0.2452091983746692,0.021753514410905506,0.002186310459774626,0.7354937991689029,0.0011376372003091472,1652.5166961289904
6,3000,0.248593226758713,0.00947958583743868,0.000952734223962154,0.7355392235831815,0.0011363272054100996,1649.59990669727
7,3500,0.24860763286207777,0.005485803724404499,0.0005513440190116346,0.7348683594801528,0.0011487252281567892,1648.2115358600631
8,4000,0.24914240235774682,0.00665913336341241,0.0006692680847083737,0.7359006841581802,0.0011277356522205323,1645.9891000280916
9,4500,0.24914240235774682,0.00665913336341241,0.0006692680847083737,0.7359006841581802,0.0011277356522205323,1645.9891000280916
10,5000,0.2493386401231159,0.004094805575089059,0.0004115434449098749,0.7352151082529645,0.0011428191122477016,1650.4810967992735
