,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,0.25492041267303167,0.0013401460490886426,5212.189928281854
1,500,0.25,0.0,0.0,0.8725696450445621,0.0007521776033849333,30532.99238363011
2,1000,0.25,0.0,0.0,0.8725696450445621,0.0007521776033849333,30532.99238363011
3,1500,0.25,0.0,0.0,0.8725696450445621,0.0007521776033849333,30532.99238363011
4,2000,0.25,0.0,0.0,0.8725696450445621,0.0007521776033849333,30532.99238363011
5,2500,0.25,0.0,0.0,0.8725696450445621,0.0007521776033849333,30532.99238363011
6,3000,0.25,0.0,0.0,0.8726393601538421,0.0007472919478026488,30526.67745088566
7,3500,0.25,0.0,0.0,0.8726501339305666,0.0007456951004847832,30520.04405676193
8,4000,0.25,0.0,0.0,0.8726501339305666,0.0007456951004847832,30520.04405676193
9,4500,0.25,0.0,0.0,0.8726501339305666,0.0007456951004847832,30520.04405676193
10,5000,0.25,0.0,0.0,0.8726501339305666,0.0007456951004847832,30520.04405676193
