,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,0.12057564337081716,0.0009586699890142364,17820.635316966116
1,500,0.03814557274341026,0.02680148365356093,0.002693650457688036,0.7609938348137643,0.00042464997557618763,15562.186429038045
2,1000,0.03814557274341026,0.02680148365356093,0.002693650457688036,0.7609938348137643,0.00042464997557618763,15562.186429038045
3,1500,0.05216977162975028,0.012610200371914694,0.0012673728231770045,0.7591667071782009,0.00036324760897613767,8174.283840039526
4,2000,0.11320485358829976,0.03943118972858719,0.0039629836777890755,0.761117749540777,0.00041181822964205905,11275.147161411038
5,2500,0.1251735249848521,0.03593718111400229,0.0036118225993391484,0.7613991360997175,0.0004067424199956855,10922.77137586573
6,3000,0.14244329124740945,0.04548607035190967,0.004571522077121012,0.7617413356966851,0.00039824274238922614,10933.750336181496
7,3500,0.145742946240712,0.04542476625653639,0.0045653607837129705,0.7617395332085969,0.00039864065409617953,10943.461779618841
8,4000,0.145742946240712,0.04542476625653639,0.0045653607837129705,0.7617395332085969,0.00039864065409617953,10943.461779618841
9,4500,0.145742946240712,0.04542476625653639,0.0045653607837129705,0.7617395332085969,0.00039864065409617953,10943.461779618841
10,5000,0.145742946240712,0.04542476625653639,0.0045653607837129705,0.7617395332085969,0.00039864065409617953,10943.461779618841
