,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-5.575850839481401,0.0054926469042339745,28607.859465530408
1,500,0.25,0.0,0.0,0.8896686983038371,0.0008413260650324356,33244.75200516789
2,1000,0.25,0.0,0.0,0.8896686983038371,0.0008413260650324356,33244.75200516789
3,1500,0.25,0.0,0.0,0.8896686983038371,0.0008413260650324356,33244.75200516789
4,2000,0.25,0.0,0.0,0.8896686983038371,0.0008413260650324356,33244.75200516789
5,2500,0.25,0.0,0.0,0.8896686983038371,0.0008413260650324356,33244.75200516789
6,3000,0.25,0.0,0.0,0.8897477350102044,0.0008457766446577538,33241.4451876141
7,3500,0.25,0.0,0.0,0.8897977885806286,0.000854173496145223,33239.46224405187
8,4000,0.25,0.0,0.0,0.8897977885806286,0.000854173496145223,33239.46224405187
9,4500,0.25,0.0,0.0,0.8897977885806286,0.000854173496145223,33239.46224405187
10,5000,0.25,0.0,0.0,0.8897977885806286,0.000854173496145223,33239.46224405187
