,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010037329695619282,2.6290657561721013e-05,2.642310503756017e-06,0.8013142977676364,0.002881727135814861,11538.378563301429
1,500,0.2447174870806407,0.021080731779243633,0.0021186932611476465,0.8021143764182366,0.0028376859053000497,8561.532083898013
2,1000,0.2447174870806407,0.021080731779243633,0.0021186932611476465,0.8021143764182366,0.0028376859053000497,8561.532083898013
3,1500,0.2447174870806407,0.021080731779243633,0.0021186932611476465,0.8021143764182366,0.0028376859053000497,8561.532083898013
4,2000,0.24861909650008635,0.008745652588094321,0.0008789711570154392,0.8015282970545918,0.002775717513787822,7930.4001282870795
5,2500,0.24861909650008635,0.008745652588094321,0.0008789711570154392,0.8015282970545918,0.002775717513787822,7930.4001282870795
6,3000,0.24956031039104842,0.0028063962459311726,0.00028205343517623196,0.8019194086283596,0.0027432149752489817,7928.916248034793
7,3500,0.24956031039104842,0.0028063962459311726,0.00028205343517623196,0.8019194086283596,0.0027432149752489817,7928.916248034793
8,4000,0.24956031039104842,0.0028063962459311726,0.00028205343517623196,0.8019194086283596,0.0027432149752489817,7928.916248034793
9,4500,0.24956031039104842,0.0028063962459311726,0.00028205343517623196,0.8019194086283596,0.0027432149752489817,7928.916248034793
10,5000,0.24956031039104842,0.0028063962459311726,0.00028205343517623196,0.8019194086283596,0.0027432149752489817,7928.916248034793
