,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,0.7346749904380123,0.005533253688880516,14304.072138082018
1,500,0.2488218125136271,0.00722834124044344,0.0007264756288243337,0.7854318845429781,0.003524900139887045,9202.65579939114
2,1000,0.2488218125136271,0.00722834124044344,0.0007264756288243337,0.7854318845429781,0.003524900139887045,9202.65579939114
3,1500,0.2488218125136271,0.00722834124044344,0.0007264756288243337,0.7854318845429781,0.003524900139887045,9202.65579939114
4,2000,0.24961088402906612,0.002883683694967854,0.0002898211160689104,0.7848016884995238,0.0032769027011397204,8579.597536607625
5,2500,0.24961088402906612,0.002883683694967854,0.0002898211160689104,0.7848016884995238,0.0032769027011397204,8579.597536607625
6,3000,0.25,0.0,0.0,0.7850814421513856,0.0033546458034057407,8584.812188489597
7,3500,0.25,0.0,0.0,0.7850814421513856,0.0033546458034057407,8584.812188489597
8,4000,0.25,0.0,0.0,0.7851072099804783,0.003360581122757471,8606.457806879478
9,4500,0.25,0.0,0.0,0.7851072099804783,0.003360581122757471,8606.457806879478
10,5000,0.25,0.0,0.0,0.7851072099804783,0.003360581122757471,8606.457806879478
