,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,0.31120445277350695,0.008280624986672126,9546.256543333013
1,500,0.2489727618709773,0.007503583683742213,0.0007541385352122945,0.8061609456479488,0.004014301894744936,10974.37082545274
2,1000,0.2489727618709773,0.007503583683742213,0.0007541385352122945,0.8061609456479488,0.004014301894744936,10974.37082545274
3,1500,0.25,0.0,0.0,0.8063016336384512,0.0038026849203434683,10043.192845083644
4,2000,0.25,0.0,0.0,0.8063016336384512,0.0038026849203434683,10043.192845083644
5,2500,0.25,0.0,0.0,0.8063016336384512,0.0038026849203434683,10043.192845083644
6,3000,0.25,0.0,0.0,0.8064498905793419,0.003734406574101838,10062.332492376157
7,3500,0.25,0.0,0.0,0.8064498905793419,0.003734406574101838,10062.332492376157
8,4000,0.25,0.0,0.0,0.8064498905793419,0.003734406574101838,10062.332492376157
9,4500,0.25,0.0,0.0,0.8064498905793419,0.003734406574101838,10062.332492376157
10,5000,0.25,0.0,0.0,0.8064498905793419,0.003734406574101838,10062.332492376157
