,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-4.053217705273714,0.00889098767439123,16506.960223759605
1,500,0.14220382184395555,0.047178517298859676,0.004741619395321488,0.7603738489425541,0.0017753805568209852,14987.129764755147
2,1000,0.25,0.0,0.0,0.7755270378313267,0.00148871988267124,11425.387190772128
3,1500,0.25,0.0,0.0,0.7767643071991164,0.001452822896441328,11041.000233804869
4,2000,0.25,0.0,0.0,0.7767643071991164,0.001452822896441328,11041.000233804869
5,2500,0.25,0.0,0.0,0.7767643071991164,0.001452822896441328,11041.000233804869
6,3000,0.25,0.0,0.0,0.7767643071991164,0.001452822896441328,11041.000233804869
7,3500,0.25,0.0,0.0,0.7779521476594804,0.001439727086579844,11416.187812822545
8,4000,0.25,0.0,0.0,0.7779521476594804,0.001439727086579844,11416.187812822545
9,4500,0.25,0.0,0.0,0.7779521476594804,0.001439727086579844,11416.187812822545
10,5000,0.25,0.0,0.0,0.7779521476594804,0.001439727086579844,11416.187812822545
