,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-1.4204537504676047,0.005437902923361811,16183.543875297606
1,500,0.08098053827222157,0.03040761655377282,0.003056080450844369,0.7549165590543149,0.0016160086634744697,13419.500110868767
2,1000,0.1865814537064184,0.05311027897795728,0.0053377838751813445,0.7636292674955831,0.0014957505700901714,11934.947729584359
3,1500,0.2388155806774679,0.03308430022939275,0.0033250972821928745,0.7698075500550794,0.0014066874936715262,11173.072184031817
4,2000,0.24684276455319215,0.01423793050495398,0.0014309658568511438,0.7711451055252064,0.0013596698483335707,10356.757519009343
5,2500,0.24684276455319215,0.01423793050495398,0.0014309658568511438,0.7711451055252064,0.0013596698483335707,10356.757519009343
6,3000,0.24879039402052247,0.005700837140232525,0.000572955690456787,0.7723743325748241,0.0013423019273287858,10377.417556882505
7,3500,0.24887480620537225,0.005933480009387988,0.0005963371785519513,0.7707925727864272,0.0013646633996411948,10366.162677672486
8,4000,0.24887480620537225,0.005933480009387988,0.0005963371785519513,0.7707925727864272,0.0013646633996411948,10366.162677672486
9,4500,0.24887480620537225,0.005933480009387988,0.0005963371785519513,0.7707925727864272,0.0013646633996411948,10366.162677672486
10,5000,0.24887480620537225,0.005933480009387988,0.0005963371785519513,0.7707925727864272,0.0013646633996411948,10366.162677672486
