,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-2.1918094456674635,0.0003780755474331719,171834.17203864543
1,500,0.11156084798778537,0.049365749748298354,0.004961444527566278,0.6589038442953061,9.955265670658698e-05,132411.0661438108
2,1000,0.24968208295123184,0.0031632346956634574,0.00031791704876817393,0.6844515294075477,7.722121989922703e-05,90109.24937347462
3,1500,0.24968208295123184,0.0031632346956634574,0.00031791704876817393,0.6844515294075477,7.722121989922703e-05,90109.24937347462
4,2000,0.25,0.0,0.0,0.6822639660281115,8.06997920412763e-05,97125.37363296832
5,2500,0.25,0.0,0.0,0.6822639660281115,8.06997920412763e-05,97125.37363296832
6,3000,0.25,0.0,0.0,0.6828249208422973,8.033052012778708e-05,97126.62264539023
7,3500,0.25,0.0,0.0,0.6828249208422973,8.033052012778708e-05,97126.62264539023
8,4000,0.25,0.0,0.0,0.6828249208422973,8.033052012778708e-05,97126.62264539023
9,4500,0.25,0.0,0.0,0.6828249208422973,8.033052012778708e-05,97126.62264539023
10,5000,0.25,0.0,0.0,0.6828249208422973,8.033052012778708e-05,97126.62264539023
