,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-14.032088788597875,0.0009391201723930902,119388.47465094535
1,500,0.24807158078524075,0.011827236536527572,0.0011886819969225602,0.6759507054599035,8.614606125030111e-05,104902.22057851775
2,1000,0.24807158078524075,0.011827236536527572,0.0011886819969225602,0.6759507054599035,8.614606125030111e-05,104902.22057851775
3,1500,0.24904015145535055,0.0069926103297083654,0.0007027837808729094,0.677211004356715,7.885040931743999e-05,85409.87608265395
4,2000,0.24904015145535055,0.0069926103297083654,0.0007027837808729094,0.677211004356715,7.885040931743999e-05,85409.87608265395
5,2500,0.25,0.0,0.0,0.6785487323949906,7.754412454351435e-05,86101.53061228796
6,3000,0.25,0.0,0.0,0.6785487323949906,7.754412454351435e-05,86101.53061228796
7,3500,0.25,0.0,0.0,0.678915331489885,7.695529382522718e-05,86104.14173937874
8,4000,0.25,0.0,0.0,0.678915331489885,7.695529382522718e-05,86104.14173937874
9,4500,0.25,0.0,0.0,0.678915331489885,7.695529382522718e-05,86104.14173937874
10,5000,0.25,0.0,0.0,0.678915331489885,7.695529382522718e-05,86104.14173937874
