,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-1.7206038729395443,0.00031201800716281554,123864.5701216868
1,500,0.20640511802822384,0.056651905107971676,0.005693730693998806,0.661157807699065,0.00010701792429925998,160826.66704108004
2,1000,0.24559524063655055,0.021725946727981848,0.0021835398033928904,0.6719645642594366,9.573016321356896e-05,133486.7834057663
3,1500,0.24559524063655055,0.021725946727981848,0.0021835398033928904,0.6719645642594366,9.573016321356896e-05,133486.7834057663
4,2000,0.24731333206613001,0.010285235150457523,0.0010337050265043083,0.6726810717127123,9.648288859479775e-05,138127.18963976362
5,2500,0.24731333206613001,0.010285235150457523,0.0010337050265043083,0.6726810717127123,9.648288859479775e-05,138127.18963976362
6,3000,0.24731333206613001,0.010285235150457523,0.0010337050265043083,0.6726810717127123,9.648288859479775e-05,138127.18963976362
7,3500,0.24731333206613001,0.010285235150457523,0.0010337050265043083,0.6726810717127123,9.648288859479775e-05,138127.18963976362
8,4000,0.24731333206613001,0.010285235150457523,0.0010337050265043083,0.6726810717127123,9.648288859479775e-05,138127.18963976362
9,4500,0.24731333206613001,0.010285235150457523,0.0010337050265043083,0.6726810717127123,9.648288859479775e-05,138127.18963976362
10,5000,0.24777037045939257,0.012240468498647768,0.001230213371763016,0.6698829465519961,9.783930696905218e-05,138133.32824879166
