,iteration,avg_pval,std_pval,se_pval,r2 (obs vs exp),pi_opt,z_opt
0,1,0.0010000000000000002,2.168404344971009e-19,2.1793283654682456e-20,-7.106552981213332,0.0005618592934551347,65956.59908474037
1,500,0.1451596888119389,0.08587484305375667,0.008630746464847534,0.5785925667183776,7.631133162206219e-05,56119.608297193794
2,1000,0.1962997094246354,0.06210733494027209,0.0062420220219943185,0.5422479456099953,0.00011030811372900877,94448.3955289407
3,1500,0.2460856492134863,0.01711727528270443,0.001720350895331977,0.5648107384555363,8.598113983659226e-05,59581.750036437814
4,2000,0.24640262744597635,0.019367244935038056,0.0019464813537100687,0.569121934374702,7.953272628250047e-05,50884.60343732826
5,2500,0.24857595887838335,0.012229615887982964,0.0012291226433517749,0.5740016805039136,8.011671108947863e-05,56580.92144257275
6,3000,0.24863618175892,0.013569820163714509,0.0013638182410800033,0.5718132414282848,8.131777749871486e-05,56572.16387466095
7,3500,0.24863618175892,0.013569820163714509,0.0013638182410800033,0.5718132414282848,8.131777749871486e-05,56572.16387466095
8,4000,0.24873697724555413,0.008022485425046482,0.0008062901224537587,0.5744283360141755,7.985005758769991e-05,56563.12980577032
9,4500,0.24873697724555413,0.008022485425046482,0.0008062901224537587,0.5744283360141755,7.985005758769991e-05,56563.12980577032
10,5000,0.24873697724555413,0.008022485425046482,0.0008062901224537587,0.5744283360141755,7.985005758769991e-05,56563.12980577032
